0.15	0	0	0	1	0
0.15	0	0	0	2	173455999999999.968750
0.15	0	0	0	3	175210000000000.000000
0.15	0	0	0	4	175211000000000.000000
0.15	0	0	0	5	189237000000000.031250
0.15	0.02	0	0.02	1	3583819999999.980469
0.15	0.02	0	0.02	2	171606999999999.937500
0.15	0.02	0	0.02	3	175244999999999.937500
0.15	0.02	0	0.02	4	176639000000000.062500
0.15	0.02	0	0.02	5	189682000000000.093750
0.15	0.04	0	0.04	1	7167520000000.004883
0.15	0.04	0	0.04	2	168815000000000.093750
0.15	0.04	0	0.04	3	175350000000000.062500
0.15	0.04	0	0.04	4	178212999999999.968750
0.15	0.04	0	0.04	5	190972999999999.906250
0.15	0.06	0	0.06	1	10750999999999.921875
0.15	0.06	0	0.06	2	165779000000000.093750
0.15	0.06	0	0.06	3	175523999999999.937500
0.15	0.06	0	0.06	4	179384000000000.000000
0.15	0.06	0	0.06	5	192959999999999.937500
0.15	0.08	0	0.08	1	14334100000000.035156
0.15	0.08	0	0.08	2	162602000000000.062500
0.15	0.08	0	0.08	3	175767000000000.000000
0.15	0.08	0	0.08	4	180252000000000.000000
0.15	0.08	0	0.08	5	195436000000000.062500
0.15	0.1	0	0.1	1	17916799999999.921875
0.15	0.1	0	0.1	2	159334000000000.062500
0.15	0.1	0	0.1	3	176079000000000.031250
0.15	0.1	0	0.1	4	180948000000000.062500
0.15	0.1	0	0.1	5	198215000000000.031250
0.15	0.12	0	0.12	1	21498900000000.089844
0.15	0.12	0	0.12	2	156004000000000.093750
0.15	0.12	0	0.12	3	176459000000000.093750
0.15	0.12	0	0.12	4	181563999999999.937500
0.15	0.12	0	0.12	5	201168000000000.000000
0.15	0.14	0	0.14	1	25080199999999.976562
0.15	0.14	0	0.14	2	152630999999999.937500
0.15	0.14	0	0.14	3	176906999999999.968750
0.15	0.14	0	0.14	4	182158000000000.000000
0.15	0.14	0	0.14	5	204213000000000.000000
0.15	0.16	0	0.16	1	28660699999999.906250
0.15	0.16	0	0.16	2	149224999999999.968750
0.15	0.16	0	0.16	3	177422999999999.937500
0.15	0.16	0	0.16	4	182758999999999.968750
0.15	0.16	0	0.16	5	207289000000000.000000
0.15	0.18	0	0.18	1	32240199999999.953125
0.15	0.18	0	0.18	2	145795000000000.031250
0.15	0.18	0	0.18	3	178005999999999.937500
0.15	0.18	0	0.18	4	183384999999999.906250
0.15	0.18	0	0.18	5	210343999999999.968750
0.15	0.2	0	0.2	1	35818500000000.085938
0.15	0.2	0	0.2	2	142345000000000.000000
0.15	0.2	0	0.2	3	178654000000000.031250
0.15	0.2	0	0.2	4	184046000000000.093750
0.15	0.2	0	0.2	5	213315000000000.000000
0.15	0.22	0	0.22	1	39395499999999.945312
0.15	0.22	0	0.22	2	138881000000000.031250
0.15	0.22	0	0.22	3	179368000000000.000000
0.15	0.22	0	0.22	4	184745000000000.062500
0.15	0.22	0	0.22	5	216101000000000.031250
0.15	0.24	0	0.24	1	42970899999999.906250
0.15	0.24	0	0.24	2	135403999999999.953125
0.15	0.24	0	0.24	3	180146000000000.093750
0.15	0.24	0	0.24	4	185484999999999.906250
0.15	0.24	0	0.24	5	218522000000000.062500
0.15	0.26	0	0.26	1	46544399999999.960938
0.15	0.26	0	0.26	2	131916999999999.968750
0.15	0.26	0	0.26	3	180986999999999.937500
0.15	0.26	0	0.26	4	186262999999999.937500
0.15	0.26	0	0.26	5	218013999999999.937500
0.15	0.28	0	0.28	1	50115800000000.007812
0.15	0.28	0	0.28	2	128420999999999.953125
0.15	0.28	0	0.28	3	181889000000000.062500
0.15	0.28	0	0.28	4	187078000000000.031250
0.15	0.28	0	0.28	5	215968000000000.000000
0.15	0.3	0	0.3	1	53684599999999.984375
0.15	0.3	0	0.3	2	124919000000000.093750
0.15	0.3	0	0.3	3	182852999999999.906250
0.15	0.3	0	0.3	4	187924999999999.968750
0.15	0.3	0	0.3	5	213960000000000.031250
0.15	0.32	0	0.32	1	57250300000000.046875
0.15	0.32	0	0.32	2	121411999999999.984375
0.15	0.32	0	0.32	3	183874999999999.937500
0.15	0.32	0	0.32	4	188797000000000.062500
0.15	0.32	0	0.32	5	211991999999999.906250
0.15	0.34	0	0.34	1	60812100000000.054688
0.15	0.34	0	0.34	2	117902000000000.015625
0.15	0.34	0	0.34	3	184954000000000.093750
0.15	0.34	0	0.34	4	189685000000000.000000
0.15	0.34	0	0.34	5	210066999999999.937500
0.15	0.36	0	0.36	1	64368800000000.039062
0.15	0.36	0	0.36	2	114388999999999.921875
0.15	0.36	0	0.36	3	186086999999999.937500
0.15	0.36	0	0.36	4	190576000000000.062500
0.15	0.36	0	0.36	5	208185999999999.937500
0.15	0.38	0	0.38	1	67918699999999.976562
0.15	0.38	0	0.38	2	110876999999999.968750
0.15	0.38	0	0.38	3	187271000000000.093750
0.15	0.38	0	0.38	4	191454999999999.906250
0.15	0.38	0	0.38	5	206355000000000.031250
0.15	0.4	0	0.4	1	71458600000000.000000
0.15	0.4	0	0.4	2	107367999999999.921875
0.15	0.4	0	0.4	3	188502000000000.093750
0.15	0.4	0	0.4	4	192298000000000.062500
0.15	0.4	0	0.4	5	204575999999999.906250
0.15	0.42	0	0.42	1	74982199999999.937500
0.15	0.42	0	0.42	2	103869999999999.906250
0.15	0.42	0	0.42	3	189768999999999.937500
0.15	0.42	0	0.42	4	193076000000000.062500
0.15	0.42	0	0.42	5	202861000000000.093750
0.15	0.44	0	0.44	1	78475600000000.031250
0.15	0.44	0	0.44	2	100394999999999.953125
0.15	0.44	0	0.44	3	191054000000000.000000
